area_sqft,bedrooms,bathrooms,house_age,location,price
2513,5,3,4,Gurugram,20059000.0
1972,3,2,4,Greater Noida,14806000.0
1823,2,2,17,Delhi,13806000.0
3313,6,5,8,Delhi,25852000.0
983,2,2,9,Noida,7819000.0
2215,4,3,6,Greater Noida,17131000.0
2126,4,3,18,Delhi,15332000.0
1920,3,3,0,Greater Noida,14441000.0
2922,5,4,7,Noida,22261000.0
1300,2,2,17,Noida,8484000.0
3361,6,4,15,Gurugram,25096000.0
1494,3,2,21,Noida,10389000.0
2135,3,2,6,Noida,15843000.0
2062,4,2,20,Ghaziabad,14079000.0
3049,6,4,23,Noida,22500000.0
1816,2,2,12,Delhi,13238000.0
1353,1,1,7,Ghaziabad,9994000.0
564,1,1,17,Delhi,4395000.0
1591,3,2,17,Ghaziabad,11043000.0
2978,5,3,2,Delhi,22623000.0
529,1,1,17,Delhi,3570000.0
3188,6,5,4,Ghaziabad,24568000.0
2128,5,4,17,Noida,16804000.0
920,1,1,28,Greater Noida,6465000.0
1406,2,2,16,Noida,9897000.0
2162,3,3,23,Noida,15039000.0
1447,3,3,9,Greater Noida,11097000.0
825,2,2,28,Greater Noida,5610000.0
2497,4,3,25,Noida,17728000.0
2516,3,2,28,Greater Noida,16425000.0
856,1,1,22,Ghaziabad,5796000.0
1343,2,2,20,Noida,9249000.0
1231,2,2,16,Greater Noida,9256000.0
2478,4,3,28,Noida,17486000.0
2690,5,4,26,Noida,19433000.0
2680,5,4,12,Noida,20144000.0
3316,6,5,2,Ghaziabad,26401000.0
2805,5,4,0,Delhi,21723000.0
1462,2,1,7,Delhi,11193000.0
823,2,1,1,Delhi,7150000.0
2343,3,3,6,Delhi,18440000.0
3248,6,5,3,Gurugram,25892000.0
3425,6,4,30,Greater Noida,23600000.0
1190,2,1,2,Delhi,9929000.0
1209,3,3,19,Gurugram,9977000.0
612,1,1,10,Ghaziabad,4342000.0
923,3,2,5,Gurugram,9039000.0
2164,4,4,21,Noida,16227000.0
2140,3,2,30,Gurugram,14715000.0
1612,3,2,24,Ghaziabad,11046000.0
1429,2,2,30,Greater Noida,9324000.0
2989,5,4,18,Noida,21915000.0
1880,4,3,20,Delhi,14333000.0
2924,6,5,4,Ghaziabad,22460000.0
3389,6,5,26,Greater Noida,25004000.0
1451,3,3,23,Greater Noida,9999000.0
1108,3,2,7,Gurugram,9907000.0
3358,6,5,10,Ghaziabad,24905000.0
2404,5,4,18,Noida,18977000.0
1372,3,2,0,Greater Noida,10770000.0
2365,3,3,25,Noida,15957000.0
2045,3,3,8,Delhi,15223000.0
3216,5,4,2,Gurugram,24755000.0
1267,2,1,10,Gurugram,9138000.0
3474,6,5,25,Delhi,25148000.0
3308,6,4,8,Delhi,24171000.0
1042,3,2,16,Ghaziabad,8159000.0
993,2,3,25,Delhi,7357000.0
2099,4,3,1,Noida,15979000.0
634,1,1,23,Ghaziabad,4354000.0
1396,3,3,8,Ghaziabad,10477000.0
1805,3,2,21,Noida,13135000.0
3408,6,5,5,Ghaziabad,25369000.0
3477,6,4,4,Delhi,27168000.0
954,3,3,24,Greater Noida,7662000.0
3175,6,4,25,Ghaziabad,22186000.0
772,2,2,30,Greater Noida,4644000.0
2745,4,3,20,Greater Noida,19411000.0
3036,5,4,14,Noida,22245000.0
3172,6,5,6,Greater Noida,24120000.0
1170,3,3,9,Gurugram,10842000.0
3180,6,4,20,Gurugram,23329000.0
847,2,2,10,Delhi,7392000.0
2056,4,4,14,Delhi,16517000.0
1908,4,3,5,Delhi,15819000.0
1447,3,2,13,Ghaziabad,10685000.0
566,1,1,7,Ghaziabad,4354000.0
2816,5,3,3,Delhi,20882000.0
1506,1,1,4,Delhi,10602000.0
2484,5,4,16,Ghaziabad,18634000.0
1730,1,1,11,Ghaziabad,11379000.0
1620,2,2,3,Ghaziabad,12063000.0
3158,6,5,15,Greater Noida,23992000.0
783,2,1,5,Greater Noida,5915000.0
2709,4,3,0,Noida,20390000.0
2740,4,3,4,Ghaziabad,20193000.0
1639,4,3,13,Delhi,12950000.0
1287,2,2,29,Delhi,9489000.0
515,3,2,7,Gurugram,6447000.0
3310,6,5,8,Noida,25333000.0
3343,6,4,7,Delhi,26229000.0
1222,3,2,11,Delhi,9387000.0
595,1,1,22,Ghaziabad,3686000.0
868,1,2,9,Greater Noida,6731000.0
702,1,1,20,Greater Noida,4111000.0
2993,5,4,27,Delhi,21637000.0
3175,5,4,29,Gurugram,22102000.0
959,2,3,17,Delhi,8202000.0
2740,4,2,22,Ghaziabad,19114000.0
1037,3,2,28,Delhi,7932000.0
1601,3,2,24,Noida,10482000.0
2298,4,3,9,Delhi,17178000.0
2659,5,3,4,Noida,20630000.0
3123,6,4,3,Gurugram,24427000.0
634,2,1,27,Gurugram,3513000.0
1089,1,1,17,Ghaziabad,7636000.0
1341,2,2,9,Greater Noida,10011000.0
1430,3,3,10,Delhi,11347000.0
3494,6,5,8,Delhi,27041000.0
2832,4,3,24,Delhi,19644000.0
1461,3,2,18,Ghaziabad,10208000.0
3415,6,5,27,Greater Noida,24499000.0
1997,3,2,9,Noida,15548000.0
2002,4,2,14,Greater Noida,15353000.0
1801,4,3,3,Ghaziabad,14513000.0
931,2,1,30,Ghaziabad,5910000.0
3303,6,5,15,Ghaziabad,24740000.0
541,1,1,17,Greater Noida,3154000.0
1022,2,2,12,Gurugram,8696000.0
1188,2,3,8,Greater Noida,9035000.0
1337,2,2,29,Gurugram,9398000.0
895,2,2,15,Greater Noida,6692000.0
553,2,1,20,Ghaziabad,4234000.0
2532,6,4,1,Delhi,20837000.0
3407,6,5,8,Greater Noida,24141000.0
865,1,1,24,Greater Noida,5354000.0
1389,3,2,2,Greater Noida,11441000.0
2018,4,3,3,Gurugram,16567000.0
3282,6,5,25,Noida,23877000.0
2582,5,4,9,Ghaziabad,20292000.0
2798,6,4,8,Delhi,22118000.0
2243,4,3,17,Delhi,16949000.0
1751,3,2,6,Ghaziabad,13566000.0
1099,2,2,1,Noida,9412000.0
3092,6,5,0,Noida,23966000.0
2912,5,4,2,Ghaziabad,20957000.0
575,1,1,4,Gurugram,5190000.0
2646,5,4,21,Noida,19833000.0
753,1,1,9,Gurugram,6025000.0
2716,5,4,2,Delhi,21770000.0
2977,6,4,0,Noida,23424000.0
893,1,1,14,Greater Noida,6676000.0
1801,4,3,26,Greater Noida,12763000.0
871,1,2,10,Gurugram,7361000.0
2201,3,3,1,Ghaziabad,16739000.0
3282,5,3,7,Greater Noida,24439000.0
742,1,1,15,Greater Noida,4327000.0
1692,3,2,5,Ghaziabad,12589000.0
3419,6,4,30,Noida,24530000.0
1402,2,1,23,Greater Noida,9813000.0
896,2,1,10,Noida,7213000.0
1965,4,3,29,Delhi,14116000.0
2025,4,3,10,Delhi,16196000.0
2488,5,4,4,Ghaziabad,19687000.0
1441,3,2,29,Noida,9837000.0
3366,5,3,29,Greater Noida,23003000.0
2063,3,2,9,Gurugram,16037000.0
1359,1,1,18,Greater Noida,9577000.0
3380,6,5,5,Noida,26165000.0
3274,6,5,19,Noida,24284000.0
1997,4,3,21,Gurugram,15042000.0
574,2,2,22,Noida,4880000.0
2290,4,3,17,Ghaziabad,16421000.0
2165,4,3,21,Gurugram,16193000.0
944,2,2,17,Delhi,7022000.0
2401,4,3,25,Ghaziabad,17225000.0
3022,5,3,5,Greater Noida,21768000.0
817,2,2,14,Noida,6461000.0
2669,4,3,12,Noida,19512000.0
921,2,1,16,Gurugram,8116000.0
2746,5,4,4,Noida,21025000.0
1757,3,3,10,Noida,13194000.0
519,2,1,29,Gurugram,3635000.0
3398,6,4,3,Ghaziabad,26199000.0
997,2,2,19,Greater Noida,5901000.0
2288,4,3,20,Delhi,16384000.0
1044,1,1,14,Ghaziabad,8222000.0
3299,6,4,1,Gurugram,25905000.0
2714,5,4,1,Ghaziabad,20394000.0
2913,5,4,8,Delhi,22222000.0
1796,4,4,3,Gurugram,15321000.0
1902,3,2,2,Ghaziabad,14673000.0
2402,4,3,4,Greater Noida,18880000.0
2854,5,4,5,Gurugram,22345000.0
3040,6,4,25,Greater Noida,21600000.0
553,1,1,19,Noida,4298000.0
2490,6,4,0,Ghaziabad,19704000.0
827,2,2,19,Gurugram,6277000.0
1363,3,2,4,Noida,10349000.0
2988,6,5,13,Gurugram,22526000.0
1251,3,3,1,Gurugram,10888000.0
2890,5,3,2,Gurugram,21758000.0
1889,4,3,4,Ghaziabad,14973000.0
1197,2,2,13,Greater Noida,8257000.0
1502,4,3,14,Ghaziabad,10368000.0
2092,3,3,10,Noida,15101000.0
2795,5,4,19,Gurugram,20682000.0
2318,3,3,22,Delhi,16169000.0
3299,6,4,22,Ghaziabad,24288000.0
3103,6,4,17,Ghaziabad,22438000.0
2760,5,4,16,Delhi,21168000.0
2309,4,3,15,Ghaziabad,16712000.0
1369,2,1,7,Gurugram,10564000.0
1737,3,3,15,Gurugram,13018000.0
856,1,1,0,Gurugram,7381000.0
1622,2,2,29,Delhi,10577000.0
3279,6,3,11,Delhi,24541000.0
1777,4,3,23,Greater Noida,12836000.0
841,3,3,29,Noida,6154000.0
2455,4,3,15,Ghaziabad,18072000.0
3387,6,4,26,Gurugram,24751000.0
3102,6,5,14,Noida,23321000.0
1322,2,2,4,Ghaziabad,10182000.0
1861,4,4,0,Noida,15500000.0
2093,4,3,4,Ghaziabad,15706000.0
1243,2,2,29,Noida,8353000.0
1306,2,2,14,Delhi,9658000.0
1209,1,1,9,Gurugram,8586000.0
3483,5,5,13,Delhi,25019000.0
2738,5,4,7,Delhi,21059000.0
3022,5,3,26,Greater Noida,21172000.0
2949,5,4,30,Ghaziabad,20151000.0
3377,6,5,2,Noida,27142000.0
815,2,2,22,Greater Noida,6242000.0
3144,6,4,10,Ghaziabad,24010000.0
699,1,1,1,Delhi,6627000.0
1926,4,3,28,Noida,14655000.0
2283,5,5,1,Gurugram,18835000.0
1573,3,2,6,Ghaziabad,10840000.0
938,2,1,0,Gurugram,8165000.0
1076,3,2,14,Ghaziabad,8642000.0
2973,6,4,18,Ghaziabad,21911000.0
1456,3,2,9,Delhi,11766000.0
1431,3,1,2,Gurugram,12337000.0
3270,6,4,3,Noida,25151000.0
931,1,1,28,Ghaziabad,5742000.0
3245,6,4,24,Noida,23036000.0
3262,5,5,29,Ghaziabad,22276000.0
2295,4,3,16,Gurugram,17965000.0
996,3,3,16,Gurugram,8781000.0
967,2,2,24,Greater Noida,6375000.0
1354,4,3,19,Greater Noida,10300000.0
2232,4,3,13,Ghaziabad,16081000.0
960,1,2,9,Greater Noida,6818000.0
1866,3,2,15,Noida,12967000.0
846,2,2,1,Greater Noida,6725000.0
2120,4,3,5,Ghaziabad,16111000.0
563,2,2,22,Ghaziabad,3974000.0
2627,5,4,26,Gurugram,19896000.0
666,1,2,3,Ghaziabad,5796000.0
1084,1,1,3,Greater Noida,8115000.0
1023,2,2,2,Delhi,8628000.0
2992,5,4,24,Delhi,21636000.0
660,1,1,9,Ghaziabad,5099000.0
1787,3,2,10,Ghaziabad,13382000.0
2273,4,2,0,Greater Noida,17170000.0
2047,4,3,30,Gurugram,15277000.0
2542,6,4,13,Gurugram,20169000.0
2909,5,4,24,Noida,21283000.0
1680,3,2,21,Greater Noida,11501000.0
2984,4,3,4,Greater Noida,20845000.0
1453,2,1,24,Gurugram,10119000.0
3453,6,4,17,Noida,25530000.0
2013,3,3,18,Greater Noida,14540000.0
2708,6,4,6,Greater Noida,21210000.0
3125,6,4,26,Ghaziabad,22108000.0
2877,6,5,28,Greater Noida,20574000.0
3053,6,5,12,Ghaziabad,23277000.0
2109,4,3,2,Delhi,17088000.0
630,1,1,26,Gurugram,4064000.0
1979,4,3,27,Noida,14714000.0
1044,3,3,15,Noida,8351000.0
3167,4,3,17,Noida,21968000.0
1210,1,1,6,Gurugram,9948000.0
1184,2,2,2,Delhi,10352000.0
1248,2,2,29,Ghaziabad,7871000.0
2427,5,3,14,Delhi,18667000.0
2213,4,3,8,Ghaziabad,16650000.0
3346,6,4,21,Greater Noida,22765000.0
1748,4,4,0,Ghaziabad,14110000.0
1346,3,3,2,Delhi,11692000.0
647,1,1,7,Noida,5146000.0
521,2,2,13,Delhi,5246000.0
1620,3,2,11,Ghaziabad,12467000.0
3277,6,5,5,Noida,25048000.0
2071,4,3,10,Greater Noida,15134000.0
3180,6,4,10,Ghaziabad,23792000.0
805,1,1,16,Greater Noida,5274000.0
779,2,2,17,Greater Noida,5875000.0
3000,4,4,27,Delhi,20964000.0
820,1,2,25,Ghaziabad,6198000.0
655,1,2,9,Ghaziabad,4198000.0
1712,3,2,27,Delhi,11885000.0
3274,6,4,16,Noida,24157000.0
2568,4,3,5,Greater Noida,18665000.0
797,1,2,10,Noida,6746000.0
3011,5,4,22,Gurugram,22404000.0
3030,6,5,25,Noida,22340000.0
2902,6,4,11,Gurugram,22406000.0
3207,6,4,4,Noida,24473000.0
1219,2,2,5,Greater Noida,9406000.0
3438,5,3,3,Delhi,25485000.0
1462,1,1,21,Gurugram,9715000.0
2906,5,4,15,Noida,21606000.0
2238,3,3,13,Greater Noida,16340000.0
2838,5,4,20,Gurugram,20542000.0
2383,3,1,25,Greater Noida,15047000.0
2427,4,3,24,Greater Noida,16121000.0
2348,4,3,4,Delhi,18637000.0
2836,5,4,18,Noida,20976000.0
2717,5,4,27,Gurugram,20118000.0
903,1,1,23,Gurugram,5560000.0
2978,6,5,10,Gurugram,24167000.0
2108,3,2,12,Greater Noida,14686000.0
1469,3,2,27,Noida,10378000.0
2042,4,3,1,Ghaziabad,16360000.0
3400,5,4,16,Greater Noida,23766000.0
3072,5,3,3,Gurugram,23106000.0
3001,6,5,27,Delhi,22382000.0
1888,4,4,1,Gurugram,17276000.0
2852,5,4,0,Delhi,22518000.0
1655,4,2,10,Delhi,13984000.0
2558,5,4,6,Noida,20462000.0
2418,4,2,15,Noida,17582000.0
1249,3,3,9,Noida,9964000.0
1299,4,3,11,Ghaziabad,11196000.0
683,3,2,17,Greater Noida,5125000.0
919,1,1,17,Gurugram,7413000.0
1800,3,2,28,Noida,12380000.0
1933,5,4,14,Gurugram,14682000.0
995,1,1,17,Delhi,6911000.0
1750,2,2,21,Noida,12279000.0
2312,4,3,5,Noida,17603000.0
1197,2,2,20,Greater Noida,8663000.0
1514,3,2,26,Greater Noida,9984000.0
1602,2,1,9,Greater Noida,10680000.0
2015,3,2,5,Ghaziabad,14766000.0
1599,2,2,10,Noida,11778000.0
2710,4,3,8,Noida,19825000.0
1482,4,2,18,Delhi,12221000.0
1801,3,2,26,Gurugram,12394000.0
1638,4,3,18,Greater Noida,12547000.0
1048,2,2,3,Gurugram,9183000.0
2557,5,3,9,Greater Noida,18438000.0
1206,2,1,21,Greater Noida,7439000.0
1390,1,1,10,Noida,9723000.0
2878,4,4,18,Ghaziabad,21245000.0
3346,5,4,21,Ghaziabad,23771000.0
2512,3,2,10,Delhi,17348000.0
3249,5,4,20,Noida,21894000.0
3062,6,4,12,Noida,23434000.0
1942,3,2,4,Ghaziabad,14367000.0
2810,6,4,11,Noida,22121000.0
1485,3,3,13,Noida,11216000.0
1881,4,3,0,Delhi,15770000.0
2106,3,2,27,Gurugram,14983000.0
3381,6,5,16,Ghaziabad,24601000.0
3045,6,5,1,Noida,23822000.0
1967,3,2,26,Gurugram,13817000.0
2457,5,4,26,Ghaziabad,17918000.0
1107,2,2,0,Delhi,9607000.0
2913,5,3,5,Noida,22324000.0
2159,3,3,11,Ghaziabad,15393000.0
2098,3,2,15,Noida,14385000.0
2798,5,4,22,Delhi,21507000.0
2398,5,4,13,Greater Noida,17921000.0
717,1,1,18,Gurugram,5120000.0
1364,2,1,0,Noida,10627000.0
1030,2,2,20,Delhi,7866000.0
2704,5,4,28,Noida,19221000.0
605,2,2,16,Delhi,5453000.0
1107,3,2,14,Ghaziabad,8566000.0
2292,3,3,9,Gurugram,17304000.0
2584,6,4,29,Delhi,18225000.0
2009,3,3,1,Greater Noida,16207000.0
3082,6,5,8,Noida,23722000.0
